issue_number,repository,title,description,labels,created_at,comments,reactions,url
15,nomic-ai/gpt4all,High CPU usage in chat with Hermes 2 Pro Mistral 7B after generation has finished,"### Bug Report

With Hermes 2 Pro Mistral 7B, in certain situations chat.exe causes high CPU usage even after generation has finished.

### Steps to Reproduce

1. Install [Hermes 2 Pro Mistral 7B](https://huggingface.co/NousResearch/Hermes-2-Pro-Mistral-7B-GGUF/blob/main/Hermes-2-Pro-Mistral-7B.Q5_K_M.gguf) (SHA256 checks out!)

2. Set the context length to 8192. This is OK because the model supports 32k. The device is CPU, with 8 threads. (These settings may or may not be important here.)

3. Open the chat, load the model and enter e.g. the following prompt:
```
Write a fictional story titled ""A Triangle"", with the following synopsis:

""An observer becomes entranced by a seemingly ordinary couple on the street, follows them home, and then
watches them from outside in the rising floodwaters, drawing an eerie connection between the woman and
a discarded, burned chair they’d noticed earlier.""

Make sure the story is at least three pages long.
```
The actual prompt is irrelevant, as long as the response is long enough (c. 700 words is sufficient - not that long actually).

4. The model will respond with a story (or, at any rate, something that resembles it).

5. **Once the generation has finished, the CPU usage stays high as if the generation is still running, instead of dropping to 0. It's due to chat.exe, according to Task Manager.**

6. **Upon closing the chat window, chat.exe stays active in the background and high CPU usage continues, until the process is killed in Task Manager.**

I haven't seen this problem with other models, so it's kind of a narrow issue, but might be worth a look.

### Your Environment

- GPT4All version: 2.7.3
- Operating System: Windows 10
- Chat model used (if applicable): Hermes 2 Pro Mistral 7B

","['bug', 'chat']",2024-03-26T08:53:41Z,7,0,https://github.com/nomic-ai/gpt4all/issues/2167
16,nomic-ai/gpt4all,"Weird download speed, varying between very large negative and very large positive numbers","Hello.

I don't know if this is a Bug per se... looks weird, anyway.

On the Download dialog, when downloading an LLM (the .gguf file in the video, maybe others), a large negative number is being shown at times, as the download speed; it appears once in a while (perhaps random) for ~1 second, then (not always immediately afterwards) another large number appears, but a positive one, say, 25 MB/s. 

### Steps to Reproduce

1. Select an LLM, then Click on the Download button
2. Watch it burn

### Expected Behavior

A more or less reasonable but consistent download speed, over time (in the 10^1 MB/s).

### Your Environment

- GPT4All v2.7.3
- Operating System: Windows 10
- Chat model used (if applicable): (incomplete)


Thank you for considering this.


https://github.com/nomic-ai/gpt4all/assets/158754254/6390e67e-812a-40ea-8874-9f994bd6191e

","['bug', 'chat']",2024-03-21T20:00:56Z,0,0,https://github.com/nomic-ai/gpt4all/issues/2156
17,nomic-ai/gpt4all,"Vulkan: Gibberish output on Quadro (Kepler, Maxwell, Turing)","<!-- Before creating a new issue, please make sure to take a few moments to check the issue tracker for existing issues about the bug. -->

### Bug Report

<!-- A clear and concise description of what the bug is. -->
Does anyone know why GPT4All will respond in gibberish. 
The behavior is  inconsistent  

### Steps to Reproduce
<!-- List the steps that should be taken to experience this issue. Provide any relevant information about your configuration, and describe anything that was unexpected. -->

1.	Start GPT4All selected model “Nous Hermes Mistral DPO”
2. 	Enter the prompt “Sample Java program”.
3.     The response is legible.
4. 	Enter the prompt “Sample R program”.
5. 	The response is gibberish.


### Expected Behavior

<!-- In a few words, what did you expect to happen? -->
The response should not be gibberish it is currently not legible
### Your Environment

- GPT4All version: GPT4All V2.7.3
- Operating System: Win 10 Enterprise 
- Chat model used (if applicable): Nous Hermes Mistral DPO but it does not matter
- Intel(R) Xeon(R) W-10885M CPU @ 2.40GHz, 2400 Mhz, 8 Core(s), 16 Logical Processor(s)
- 128 GB RAM 
- GPU Quadro RTX 3000 6 GB RAM

- See screenshot 
![2024-03-20_11-15-34](https://github.com/nomic-ai/gpt4all/assets/23298288/d117c99a-ac78-4961-943c-f656c536e7dd)


<!-- You can freely edit this text, please remove all the lines you believe are unnecessary. -->

","['bug', 'backend', 'vulkan']",2024-03-20T15:50:24Z,7,0,https://github.com/nomic-ai/gpt4all/issues/2149
18,nomic-ai/gpt4all,"GPT4All 2.7.3: Context ""link"": inactive when clicked to show a snippet; selectable by double-click","Hello.

Sometimes, the ""links"" marked ""Context"" after a response:
- are selectable by double-clicking on them, instead of showing a document snippet
- when clicked, do not show a snippet from a LocalDoc which was presumably used/quoted in the response

Occurrence: unpredictable/unexpected/no repeatability discerned
Location: the entire set of quotes after a response from the currently-selected LLM; not in the set preceding it, not in the set after it.


### Steps to Reproduce

1. click on such a ""link"": no snippet is shown; this is unexpected
2. drag over a ""link"" with the mouse, starting from a character/letter/space before it, from left to right; the ""link"" is selected; this is expected 
3. double-click a ""link"": the ""link"" is selected; this is unexpected


### Expected Behavior

All _visible_ ""links"" marked ""Context"" should show a snippet when clicked.


### Your Environment

- GPT4All version: 2.7.3
- Operating System: Windows 10, x64
- Chat model used (if applicable): Nous Hermes 2 Mistral DPO, Context Length: 30720

As an aside - the mouse pointer over these links should change to hand or some other form indicating their distinct role, like their color does.

Thank you for considering this.

 
![img_gpt4all_q1](https://github.com/nomic-ai/gpt4all/assets/158754254/d27ad0dc-8994-47cc-b829-5d8d78f34200)
","['bug', 'chat']",2024-03-13T22:52:05Z,0,0,https://github.com/nomic-ai/gpt4all/issues/2120
19,nomic-ai/gpt4all,"GPT4All 2.7.1 - searching localdocs even if no category is checked/selected; repeating the reply and the Context fragments, regardless of LLM","<!-- Before creating a new issue, please make sure to take a few moments to check the issue tracker for existing issues about the bug. -->

### Bug Report

<!-- A clear and concise description of what the bug is. -->

### Steps to Reproduce

**1. Loaded the model: mistral-7b-instruct-v.0.1Q4_0.gguf**
1.1. checked a (1, one) LocalDocs collection
1.2. asked the model something
1.3. the model searched the checked LocalDocs collection: ""searching localdocs: [category]..."". 
1.4. the model replied as per the checked LocalDocs collection; following the reply, there were N Certain fragments cited, as Context.
1.5. This was expected.
1.6. unchecked the same LocalDocs collection
1.7. reloaded the model by using the icon next to its name in the combobox
1.8. asked the model the same question as before
1.9. it started searching again the localdocs, but _NOT_ specifying which collection (none was checked, anyway):  ""searching localdocs: ..."". in the end, it 1) _repeated the reply_ from the time when the collection was checked and 2) quoted _the same_ N Certain fragments, as Context, like the previous model
1.10. unloaded the model

**2. Loaded the model: gpt4all-falcon-newbpe-q4_0.gguf**
2.1. checked again - the same LocalDocs collection as in the case of previous model
2.2. asked the current model the same question as the previous model
2.3. the current model searched in the checked LocalDocs collection: ""searching localdocs: [category]..."". 
2.4. the model replied as per the checked LocalDocs collection; following the reply, there were N Certain fragments cited, as Context.
2.5. This was expected; however, the cited Contexts were _exactly the same_ as in the case of the previous model.
2.6. unchecked the same LocalDocs collection
2.7. reloaded the current model by using the icon next to its name in the combobox
2.8. asked the model the same question as before
2.9. it started searching again the localdocs, but _NOT_ specifying which collection (none was checked, anyway):  ""searching localdocs: ..."". in the end, it 1) _repeated the reply_ from the time when the collection was checked and 2) quoted _the same_ N Certain fragments, as Context, like the previous model


### Expected Behavior

Expectations:
- when a (even 1, since _it seems_ like searching the LocalDocs depends on the number>1 of collections, _although not every time_) LocalDocs collection was checked, the reply should have been different to that when no collection was checked.
- moreover, the quoted Contexts at the end of replies should have been 1) present when the reply was built upon checked LocalDocs collections and 2) absent when no such collection was checked.
- moreover, the content of the replies should have been different even in 1 word, regardless if any LocalDocs category was checked.

### Your Environment

- GPT4All 2.7.1
- Windows 10, latest update as of 2024.02.26
- Mistral Instruct 7B, Falcon 7B
- Mistral Instruct: Context Length: 16384, Temperature: 0.1, Top P; 0.6, Prompt Batch Size: 128
- Falcon: the same values as for Mistral, above

It looks like both the reply, the cited Contexts and the LocalDocs categories are being remembered and transferred to the next reply (replies) to the same question, regardless of the currently loaded model.","['bug', 'chat', 'local-docs']",2024-02-26T23:23:36Z,0,0,https://github.com/nomic-ai/gpt4all/issues/2033
20,nomic-ai/gpt4all,Ceased GPT4ALL during indexing by Local Documents plugin,"<!-- Before creating a new issue, please make sure to take a few moments to check the issue tracker for existing issues about the bug. -->

### Bug Report

<!-- A clear and concise description of what the bug is. -->

### Steps to Reproduce

<!-- List the steps that should be taken to experience this issue. Provide any relevant information about your configuration, and describe anything that was unexpected. -->

1. Indexing Local Documents more 20 pdf files.
2. Per a book page are more 500 pages
3. Sometimes didn't indexing or ceased GPT4ALL

### Expected Behavior

<!-- In a few words, what did you expect to happen? -->

### Your Environment

- GPT4All version: 2.7.1
- Operating System: Windows 11
- Chat model used (if applicable): EM German Mistral

<!-- You can freely edit this text, please remove all the lines you believe are unnecessary. -->
I'm testing LLM learning for Local Documents.
I already explained bug above.
Have a limitation of Local Documents plugin?
ex, Pages amount per a file or File size or number?","['bug', 'chat', 'local-docs']",2024-02-26T05:36:51Z,0,0,https://github.com/nomic-ai/gpt4all/issues/2029
21,nomic-ai/gpt4all,Chat UI crashes for long inputs,"I am running the latest version of GPT4all, version 2.7.0, on Windows 11 Pro. Whenever I provide a long input to a model, the program crashes immediately after it finishes responding, and I am unable to use it again. Can you please identify the reason for this error and provide a solution to fix it? Your assistance would be greatly appreciated.","['bug', 'chat']",2024-02-24T14:42:53Z,1,0,https://github.com/nomic-ai/gpt4all/issues/2020
22,nomic-ai/gpt4all,"Online v2.7.1 release doesn't open, offline v2.7.0 release does","### Bug Report

I upgraded the app from 2.70 to 2.71, and first Windows Defender gave me a virus notification and removed some files and then the app stopped working. 

### Steps to Reproduce

Upgrade from 2.70 to 2.71 using in app upgrade option on windows 11


### Expected Behavior

Nothing works. The chat UI doesn't start and the issue persists even after reinstalling until I downgraded to 2.7.0.

### Your Environment

- GPT4All version: 2.7.1
- Operating System: Windows 11
- Chat model used (if applicable): mistral 7b openorca


","['bug', 'chat']",2024-02-22T11:24:58Z,7,0,https://github.com/nomic-ai/gpt4all/issues/1998
23,nomic-ai/gpt4all,"Windows: System menu for window has ""Minimize"" and ""Maximize"" options disabled when opened with keyboard (Alt+Space shortcut)","<!-- Before creating a new issue, please make sure to take a few moments to check the issue tracker for existing issues about the bug. -->

### Bug Report

<!-- A clear and concise description of what the bug is. -->

### Steps to Reproduce

<!-- List the steps that should be taken to experience this issue. Provide any relevant information about your configuration, and describe anything that was unexpected. -->

1. On Windows 11, open the application
2. Press Alt+Space to show the window's system menu
3. Press ""n"" for minimize or ""m"" for maximize
4. Observe that the minimize and maximize options are not enabled
5. Press Esc to close the system menu
6. Open the window's system menu by clicking the window's top left corner. The options are now available.

### Expected Behavior

I expect the ""Minimize"" and ""Maximize"" options to be available (not disabled) and to activate using the ""N"" and ""X"" shortcuts, respectively.

### Actual Behavior:

The options are disabled, and do not activate using the shortcuts.

### Your Environment

- GPT4All version: 2.7.0
- Operating System: Windows 11 
- Chat model used (if applicable):

<!-- You can freely edit this text, please remove all the lines you believe are unnecessary. -->
","['bug', 'chat']",2024-02-18T03:31:56Z,1,0,https://github.com/nomic-ai/gpt4all/issues/1977
24,nomic-ai/gpt4all,Cannot use local server with GPU enabled because it tries to load two models on GPU at once,"### System Info

GPT4All: 2.6.2-2
Python: 3.11.5
OS: Archlinux
Kernel: 6.7.3-arch1-2

### Information

- [X] The official example notebooks/scripts
- [ ] My own modified scripts

### Reproduction

1. Start the GPT4All application and enable the local server
2. Download the mistral-7b-openorca.Q4_0.gguf model
3. Use the code below to test.

```
import openai

openai.api_base = ""http://localhost:4891/v1""

openai.api_key = ""not needed for a local LLM""

# Set up the prompt and other parameters for the API request
prompt = ""Who is Michael Jordan?""

model = ""mistral-7b-openorca.Q4_0.gguf""

# Make the API request
response = openai.Completion.create(
    model=model,
    prompt=prompt,
    max_tokens=50,
    temperature=0.28,
    top_p=0.95,
    n=1,
    echo=True,
    stream=False
)

# Print the generated completion
print(response)
```



### Expected behavior

I would expect the model to return an answer instead of crashing.

Instead I get this log when starting the gpt4all-chat from the shell:

```
[Debug] (Tue Feb 6 16:28:44 2024): deserializing chat ""/home/arael/.local/share/nomic.ai/GPT4All//gpt4all-a93ce28a-a563-4bc0-959f-4e9abcec67f6.chat""
[Debug] (Tue Feb 6 16:28:44 2024): deserializing chat ""/home/arael/.local/share/nomic.ai/GPT4All//gpt4all-3974f69f-fd9f-4e00-80a8-b70c02dd298c.chat""
[Debug] (Tue Feb 6 16:28:44 2024): deserializing chat ""/home/arael/.local/share/nomic.ai/GPT4All//gpt4all-f11fba17-3fe5-476f-8436-48aeae4f10df.chat""
[Debug] (Tue Feb 6 16:28:44 2024): deserializing chats took: 1 ms
llama.cpp: using Vulkan on AMD Radeon RX 6800S (RADV NAVI23)
^NGGML_ASSERT: /home/arael/.cache/yay/gpt4all-chat/src/gpt4all-2.6.2/gpt4all-backend/llama.cpp-mainline/ggml-kompute.cpp:2009: s_kompute_context == nullptr
[1]    28706 IOT instruction (core dumped)  gpt4all-chat
```","['bug', 'chat']",2024-02-06T07:47:44Z,2,0,https://github.com/nomic-ai/gpt4all/issues/1932
25,nomic-ai/gpt4all,No models available - sbert model link broken - GPT4ALL.IO/MODELS/MODELS2.JSON,"### System Info

When attempting to add localdocs plugin, nothing shows up when it attempts to download from:  GPT4ALL.IO/MODELS/MODELS2.JSON

it looks like broken link issue ?

### Information

- [ ] The official example notebooks/scripts
- [ ] My own modified scripts

### Reproduction

When attempting to add localdocs plugin, nothing shows up when it attempts to download from:  GPT4ALL.IO/MODELS/MODELS2.JSON

it looks like broken link issue ?

### Expected behavior

When attempting to add localdocs plugin, nothing shows up when it attempts to download from:  GPT4ALL.IO/MODELS/MODELS2.JSON

it looks like broken link issue ?","['bug', 'chat']",2024-01-22T01:44:42Z,2,0,https://github.com/nomic-ai/gpt4all/issues/1861
26,nomic-ai/gpt4all,macOS: LocalDocs can not add local directory,"### System Info

GPT4All 2.5.4 macOS 14.2.1 (23C71) M1 Macbook 16GB mem 2TB disk

### Information

- [X] The official example notebooks/scripts
- [ ] My own modified scripts

### Reproduction

I installed Mistral OpenOrca and LocalDocs.
Configuring LocalDocs the system asks
- if it can access my Download folder (I do not know why), I answered yes
- I can select the folder with my files, which returns file:///User/MyUsername/..... and the Connection Name turns red
- I try to remove the prefix file:// - so path looks like the path in the  other config menus. connection name stays red
The local path is not parsed.



### Expected behavior

accept the parsed directory name","['bug', 'chat', 'local-docs']",2024-01-09T10:31:00Z,1,0,https://github.com/nomic-ai/gpt4all/issues/1820
27,nomic-ai/gpt4all,Model loaded into GPU ram but 0% GPU usage,"### System Info

GPT4all version 1.0.2
Ubuntu Linux 24 LTS with kernel 5.15.0-91-generic #101-Ubuntu SMP
Nvidia Tesla P100-PCIE-16GB
Nvidia driver v545.29.06
Cuda 12.3

### Information

- [ ] The official example notebooks/scripts
- [X] My own modified scripts

### Reproduction

`
python3 app.py repl --model /model/location/mistral-7b-instruct-v0.2.Q5_K_S.gguf -d nvidia
`

In another console: `nvtop`

### Expected behavior

nvtop should show python3 using several GB of ram upon loading and GPU usage should increase from 0% to/near 100% during inference.

Instead, nvtop shows python3 using several GB of ram as expected, but GPU usage remains at 0% throughout inference.

Separately, the GPU usage does increase to 100% when I perform inference using a non-quantized model via transformers.

Edit: This seems to be model dependent. gpt4all uses the GPU when performing inference using nous-hermes-llama2-13b.Q4_0.gguf and mistral-7b-instruct-v0.1.Q4_0.gguf but not when using mistral-7b-instruct-v0.2.Q5_K_S.gguf or Wizard-Vicuna-13B-Uncensored.Q6_K.gguf. 

I started to think that only 4-bit quantized models are running on the GPU, but then I tried Wizard-Vicuna-13B-Uncensored.Q4_K_M.gguf and found that it used GPU ram but did not run on the GPU.",['bug'],2024-01-03T13:30:13Z,4,0,https://github.com/nomic-ai/gpt4all/issues/1803
28,nomic-ai/gpt4all,temp=0 should use greedy sampling instead of crashing or UB,"### System Info

OS: Windows 11 64 bit
Python 3.10.4
Model: nous-hermes-llama2-13b.Q4_0.gguf

### Information

- [ ] The official example notebooks/scripts
- [X] My own modified scripts

### Reproduction

Step1: The following code produces the error:
```python
from gpt4all import GPT4All
model = GPT4All(""nous-hermes-llama2-13b.Q4_0.gguf"")
with model.chat_session(""You are a cyber secuirty expert who can find vulnerabilities in source code""):
    response = model.generate('who are you?', temp=0)
    print(response)
```
![image](https://github.com/nomic-ai/gpt4all/assets/20457968/931225b3-92af-4d28-a382-a86aa0227c23)


### Expected behavior

1. Without giving system_prompt, the chat session works fine.
2. With system_prompt, the model should respond accordingly without error as mentioned in the doc https://docs.gpt4all.io/gpt4all_python.html#managing-templates","['bug', 'backend', 'chat', 'crash']",2024-01-02T18:35:22Z,2,0,https://github.com/nomic-ai/gpt4all/issues/1799
29,nomic-ai/gpt4all,"""retrieving localdocs: ...""  spinning circle","### System Info

v2.5.4
win 10
Model: Openchat 3.5 -1210

Tried to stop it and didnt work. Pressing ""stop generating"" didnt work.

PS:
Notice most of the time when the generation is finished it sort of hangs as it shows ""stop generating"" button so I assume its still generating....something,
so this will be another recent model after 
- stablelm-zephyr
-  magiccoder
 that doesnt work in gpt4all. 
Seems only the old models work in gpt4all.

### Information

- [ ] The official example notebooks/scripts
- [ ] My own modified scripts

### Reproduction

1. ask to write a code in python to read btc price
2. once finished ask it a question about diference between api key and secret key 
OR ""ok thanks""
4. get the forever lasting spinning circle 

### Expected behavior

to answer question","['bug', 'chat']",2023-12-15T05:11:12Z,2,0,https://github.com/nomic-ai/gpt4all/issues/1754
30,nomic-ai/gpt4all,GPT4all not using my GPU because Models not unloading from VRAM when switching,"### Issue you'd like to raise.

RTX 3060 12 GB is available as a selection, but queries are run through the cpu and are very slow.

Cuda compilation tools, release 12.2, V12.2.128
Build cuda_12.2.r12.2/compiler.33053471_0

### Suggestion:

_No response_","['bug', 'chat']",2023-11-28T23:04:14Z,3,0,https://github.com/nomic-ai/gpt4all/issues/1688
31,nomic-ai/gpt4all,Process finished with exit code 139 (interrupted by signal 11: SIGSEGV) ,"1. I am able to run this model as well as lighter models, but in about 2-4 promts given to the model (in the process of answering) it fails with ""Process finished with exit code 139 (interrupted by signal 11: SIGSEGV)"".  Tried python from 3.9 to 3.11. Also, tried with Jupyter lab (kernel 3.10), PyCharm and terminal. It is all the same. Any ideas where the problem may come from?

2. How much GPU memory do I need to run the model, is 24G of GPU memory enough?","['bug', 'python-bindings']",2023-11-14T10:07:38Z,2,0,https://github.com/nomic-ai/gpt4all/issues/1646
32,nomic-ai/gpt4all,﻿ERROR: The prompt size exceeds the context window size and cannot be processed. (Using GUI),"### System Info

Windows 10, GPT4ALL GUI version 2.5.2.

### Information

- [ ] The official example notebooks/scripts
- [ ] My own modified scripts

### Reproduction

1. Create a localdocs directory and fill it with some .html files
2. Reference that database of context docs in the GUI
3. Ask a fairly small question to the GPT4ALL Falcon model (such as ""Tell me the advantages of Python over other programming languages."")
4. Receive the following error:

```
﻿ERROR: The prompt size exceeds the context window size and cannot be processed.
```

### Expected behavior

A clear response. This issue has been raised and gone stale [here](https://github.com/nomic-ai/gpt4all/issues/664) and was suggested to create a new issue.

I've gone into the settings and increased the input and output token length to as high as 4096, no change. How to fix?","['bug', 'chat']",2023-11-10T16:02:43Z,0,1,https://github.com/nomic-ai/gpt4all/issues/1638
