issue_number,repository,title,description,labels,created_at,comments,reactions,url
11,angular/angular,Using a track function directly in the new @for loop is not supported nor compiled,"### Which @angular/* package(s) are the source of the bug?

core

### Is this a regression?

No

### Description

The following code

```
@for (a of b; track method) {}
```

and having
```
method = (index, item) => { return index }
```

The method is actually not called.

It comes to a surprise because the language service will link properly and everything but it doesn't actually run the tracking method.
For someone who comes from an `*ngFor`, they will blindly switch this `trackBy` to `track` and things will start failing at runtime.

If this is the ""norm"" then maybe the documentation should be reflected that you have to call `method($index, a)`, but this is not obvious

### Please provide a link to a minimal reproduction of the bug

https://angular-e967ee.stackblitz.io

### Please provide the exception or error you saw

_No response_

### Please provide the environment you discovered this bug in (run `ng version`)

Angular CLI: 17.3.2
Node: 20.11.1
Package Manager: npm 8.5.5
OS: win32 x64

Angular: 17.3.2
... animations, cdk, cli, common, compiler, compiler-cli, core
... forms, google-maps, language-service, localize, material
... platform-browser, platform-browser-dynamic, platform-server
... router, ssr

Package                         Version
---------------------------------------------------------
@angular-devkit/architect       0.1703.2
@angular-devkit/build-angular   17.3.2
@angular-devkit/core            17.3.2
@angular-devkit/schematics      17.3.2
@schematics/angular             17.3.2
rxjs                            7.8.1
typescript                      5.2.2
zone.js                         0.14.4

### Anything else?

_No response_","['area: core', 'P3', 'bug', 'core: control flow']",2024-10-18T15:44:09Z,2,3,https://github.com/angular/angular/issues/58264
12,angular/angular,ng-content doesn't project deferrable views,"### Which @angular/* package(s) are the source of the bug?

core

### Is this a regression?

No

### Description

It is not possible to use content projection based on CSS selectors when the projected content is in a deferrable view.  
But it works when using `contentChildren` with structural directives and `ngTemplateOutlet`.
I was expecting that both approaches work the same regarding deferrable views, and it would be really nice to use `@defer` in simple CSS selector based content projection as well.

### Please provide a link to a minimal reproduction of the bug

https://stackblitz.com/edit/stackblitz-starters-ty28hm?file=src%2Fmain.ts

### Please provide the exception or error you saw

_No response_

### Please provide the environment you discovered this bug in (run `ng version`)

Angular v18

### Anything else?

_No response_","['area: core', 'core: content projection', 'P3', 'bug', 'core: defer']",2024-10-07T20:36:00Z,3,4,https://github.com/angular/angular/issues/58110
13,angular/angular,Dynamically-created component not removed when zoneless is combined with animations,"### Is this a regression?

- [x] Yes, this behavior used to work in the previous version

### The previous version in which this bug was not present was

no very sure, but around 18.2.x

### Description

![Image](https://github.com/user-attachments/assets/edf3af97-3ea8-44a9-a4db-7dcfffc30469)

The overlay content has not been removed.

### Reproduction

StackBlitz link: 
Steps to reproduce:
1. git clone [https://github.com/keatkeat87/ng-mat-overlay-detach-issue.git](https://github.com/keatkeat87/ng-mat-overlay-detach-issue.git)
2. ng serve
3. click open and then close.
![Image](https://github.com/user-attachments/assets/edf3af97-3ea8-44a9-a4db-7dcfffc30469)


if use ZoneChangeDetection, then no problem.
```
export const appConfig: ApplicationConfig = {
  providers: [provideZoneChangeDetection({ eventCoalescing: true }), provideAnimations()] // work
  // providers: [provideExperimentalZonelessChangeDetection(), provideAnimations()] // no work
};
```
only ZonelessChangeDetection have the problem.

if we manual call detectChanges(), then it work.
```
export class ModalContainerComponent {
  private readonly overlayRef = inject(OverlayRef);
  private cdk = inject(ChangeDetectorRef);

  close() {
    this.overlayRef.detach();
    this.cdk.detectChanges(); // manual detectChanges will work
    // this.cdk.detectChanges(); // without detectChanges no work
  }
}
```


### Expected Behavior

The overlay content should be removed.

### Actual Behavior

The overlay content has not been removed.

### Environment

Angular CLI: 18.2.7
Node: 20.11.1
Package Manager: yarn 1.22.19
OS: win32 x64

Angular: 18.2.7
... animations, cli, common, compiler, compiler-cli, core, forms
... platform-browser, platform-browser-dynamic, router

Package                         Version
---------------------------------------------------------
@angular-devkit/architect       0.1802.7
@angular-devkit/build-angular   18.2.7
@angular-devkit/core            18.2.7
@angular-devkit/schematics      18.2.7
@angular/cdk                    18.2.6
@angular/material               18.2.6
@schematics/angular             18.2.7
rxjs                            7.8.1
typescript                      5.5.4
zone.js                         0.14.10","['area: animations', 'hotlist: components team', 'area: core', 'P2', 'bug', 'core: zoneless']",2024-10-03T07:44:09Z,1,0,https://github.com/angular/angular/issues/58075
14,angular/angular,"Initializer APIs (input, output, queries) not integrating with `TestBed.override` in a jit & aot mix","Investigation result of: https://github.com/angular/angular/pull/57668

`TestBed.overrideComponent` seems to not work well with signal inputs, queries, output, or other non-decorator APIs.

That is because the `setClassMetadata` calls (generated for JIT) are used to re-compile the component with the overrides — **but** there is no decorator for the e.g. `input()` calls, hence this metadata is lost.

Options I could see:

- Smartly merging directly with the original component metadata in TestBed. 
   * Will be hard to detect output as it's non-distinguishable from decorator outputs.
   * I guess, we could fully re-use inputs, queries etc. metadata instead of relying on prop decorators..?
- Adding synthetic prop decorators to `setClassMetadata`.
   * Would be great to re-use the JIT transforms.. but those need an import manager; so needs a bit of refactoring!

**Note**: I do think this may not be a problem in Angular CLI applications because full tests are compiled with JIT transforms in place! Here it fails because we mix AOT targets with JIT targets; without any JIT transforms","['area: compiler', 'core: queries', 'core: inputs / outputs', 'P3', 'compiler: jit', 'bug']",2024-09-24T10:29:26Z,2,2,https://github.com/angular/angular/issues/57944
15,angular/angular,"Angular effect throws ""Unsubscription error"" when signal is set in finalize operator","### Which @angular/* package(s) are the source of the bug?

core

### Is this a regression?

Yes

### Description

I am getting an error when I use effect to call an http request whenever my input signal changes, the occurs when the input `search` changes before the current request is completed. After investigating, it appears to be happening because of setting `loading` signal to false inside the `finalize` operator.

It is probably happening because the effect is triggered when the input is changing and then sets the loading to true, but at the same time the finalize from the previous request which got unsubscribed, sets the loading to false.


```ts
constructor() {
  let sub$: Subscription;

  effect((onCleanup: EffectCleanupRegisterFn) => {
    const searchKey: string = this.search();

    untracked(() => {
      sub$?.unsubscribe();

      if (searchKey) {
        this.data.set(null);
        this.loading.set(true);

        sub$ = this.service.getData(searchKey).pipe(
          tap((data) => this.data.set(data)),
          finalize(() => this.loading.set(false))
        ).subscribe();
      }
    });

    onCleanup(() => sub$?.unsubscribe());
  });
}
```

**Runtime error is thrown:**

![image](https://github.com/user-attachments/assets/dfa0e58c-8a41-42f8-936a-06c448ddf456)


### Please provide a link to a minimal reproduction of the bug

[Stackblitz reproduction](https://stackblitz.com/edit/stackblitz-starters-dexwge).

Click the button to trigger a request, then click again after a second and you will get the error in the console

### Please provide the exception or error you saw

```true
message: ""1 errors occurred during unsubscription:\n1) Error: NG0600""
name: ""UnsubscriptionError""
```


### Please provide the environment you discovered this bug in (run `ng version`)

```true
Angular CLI: 17.3.8
Node: 20.2.0
Package Manager: npm 9.6.6
OS: win32 x64

Angular: 17.3.11
... animations, common, compiler, compiler-cli, core, forms
... platform-browser, platform-browser-dynamic, router

Package                         Version
---------------------------------------------------------
@angular-devkit/architect       0.1703.8
@angular-devkit/build-angular   17.3.8
@angular-devkit/core            17.3.8
@angular-devkit/schematics      17.3.8
@angular/cdk                    17.3.10
@angular/cli                    17.3.8
@angular/material               17.3.10
@schematics/angular             17.3.8
rxjs                            7.8.1
typescript                      5.4.5
zone.js                         0.14.7
```


### Anything else?

When this error occurs, the effects in other components stop working.","['area: core', 'P3', 'bug', 'core: reactivity', 'cross-cutting: signals']",2024-09-10T16:19:08Z,4,0,https://github.com/angular/angular/issues/57757
16,angular/angular,Generic types of components/directives are inferred as `any` when some corresponding inputs are omitted,"### Command

serve

### Is this a regression?

- [ ] Yes, this behavior used to work in the previous version

### The previous version in which this bug was not present was

_No response_

### Description

I recently started to notice that after introducing `strictTemplates` and `strictNullChecks` in my project, WebStorm still sometimes highlights types incompatibility. So I started investigating whether it's my IDE's problem or not.

Let's assume that we have a method in component, which accepts string as an argument. If we try to call it from a template with `undefined` or `null` explicitly, compiler would throw an error. However, this is not the case when library is involved. In my example [<mat-calendar>](https://material.angular.io/components/datepicker/api#MatCalendar) is used along with `(selectedChange)`.

`$event` can be null. And if I try to call that method with `$event.toString()`, compiler would not complain. Even something like `$event?.toString()` or `$event?.toString() ?? undefined` or `$event?.toString() || undefined` would still be fine for the compiler. At the same time something like `'' || undefined` will trigger a compilation error.

Here is the StackBlitz [link](https://stackblitz.com/edit/4yhgc4?file=src%2Fexample%2Fdatepicker-inline-calendar-example.html). This is a fork from the [official example](https://material.angular.io/components/datepicker/overview#using-mat-calendar-inline).

### Minimal Reproduction

- init strict application with `strictTemplates` & `strictNullChecks`
- create component with a method, which accepts string as a single argument
- call that method from the template using third-party library's component where `$event` can be `null`. E.g. `myMethod($event.toString())`

### Exception or Error

```text
This is what I would actually expect to see in such case, but no error was given.
```


### Your Environment

```text
Angular CLI: 18.2.1
Node: 18.20.3
Package Manager: npm 10.2.3
OS: linux x64

Angular: 18.2.2
... animations, cdk, common, compiler, compiler-cli, core, forms
... localize, material, material-moment-adapter
... platform-browser, platform-browser-dynamic, router

Package                         Version
---------------------------------------------------------
@angular-devkit/architect       0.1802.1
@angular-devkit/build-angular   18.2.1
@angular-devkit/core            18.2.1
@angular-devkit/schematics      18.2.1
@angular/cli                    18.2.1
@schematics/angular             18.2.1
rxjs                            7.4.0
typescript                      5.5.4
zone.js                         0.14.10
```


### Anything else relevant?

_No response_","['state: has PR', 'area: compiler', 'core: inputs / outputs', 'P3', 'compiler: template type-checking', 'bug']",2024-09-03T16:58:10Z,1,0,https://github.com/angular/angular/issues/57644
17,angular/angular,TS-996002 makes finding errors difficult,"### Which @angular/* package(s) are the source of the bug?

compiler

### Is this a regression?

No

### Description

[Sharing modules](https://angular.dev/guide/ngmodules/sharing) are very useful in large projects. But when the sharing module fails to compile because of an error within its `imports`, the console fills up with `TS-996002` for every component or module using the sharing module:

```bash
✘ [ERROR] TS-996002: 'FeatureCoreSharedModule' does not appear to be an NgModule class. [plugin angular-compiler]

    libs/features/account/src/child/child-feature.module.ts:23:4:
      23 │     FeatureCoreSharedModule,
         ╵     ~~~~~~~~~~~~~~~~~~~~~~~~~

  Is it missing an @NgModule annotation?

    libs/features/core/src/feature-core-shared.module.ts:151:13:
      151 │ export class FeatureCoreSharedModule {}
```

For very large projects, `TS-996002`-errors can fill the whole console, pushing the actual error outside of the console stdout. Small errors that would take a few seconds to fix can take incredibly long, since developers have to manually go through all `imports` of a sharing module manually to find the error.

### Please provide a link to a minimal reproduction of the bug

Repro: https://github.com/blidblid/57341-reproduction

### Steps:

1. Note that `src/app/children/h/index.ts` is empty, which causes an error in `ChildrenSharingModule`
2. `ng s`
3. The console is filled with `TS-996002` for every import of `ChildrenSharingModule`

Even though this is a small project, it still takes long time for a developer to figure out what's actually wrong.

### Steps to compare logs with a broken feature module:

1. Fix `src/app/children/h/index.ts`
2. Remove contents of `src/app/features/h/index.ts` instead
3. The console is now clear and concise with a single `TS-996002`.


### Please provide the exception or error you saw

```bash
✘ [ERROR] TS-996002: 'FeatureCoreSharedModule' does not appear to be an NgModule class. [plugin angular-compiler]

    libs/features/account/src/child/child-feature.module.ts:23:4:
      23 │     FeatureCoreSharedModule,
         ╵     ~~~~~~~~~~~~~~~~~~~~~~~~~

  Is it missing an @NgModule annotation?

    libs/features/core/src/feature-core-shared.module.ts:151:13:
      151 │ export class FeatureCoreSharedModule {}
```

### Please provide the environment you discovered this bug in (run `ng version`)

Angular CLI: 17.1.4
Node: 20.12.0
Package Manager: yarn 1.22.19
OS: darwin arm64

Angular: 17.1.3
... animations, common, compiler, compiler-cli, core, forms
... language-service, localize, platform-browser
... platform-browser-dynamic, router, service-worker

Package                              Version
--------------------------------------------------------------
@angular-devkit/architect            0.1701.4
@angular-devkit/build-angular        17.1.4
@angular-devkit/core                 17.1.4
@angular-devkit/schematics           17.1.4
@angular/cdk                         17.1.2
@angular/cli                         17.1.4
@angular/fire                        7.5.0
@angular/material                    17.1.2
@angular/material-date-fns-adapter   17.1.2
@angular/pwa                         17.1.4
@schematics/angular                  17.1.4
ng-packagr                           17.1.2
rxjs                                 7.8.1
typescript                           5.3.3
zone.js                              0.14.4

### Anything else?

_No response_","['hotlist: error messages', 'area: core', 'area: compiler', 'core: NgModule', 'P3', 'bug']",2024-08-12T08:23:49Z,3,1,https://github.com/angular/angular/issues/57341
18,angular/angular,Model inputs not working as expected,"### Which @angular/* package(s) are the source of the bug?

core

### Is this a regression?

No

### Description

Hi, the new model inputs are not working as expected for me.
When i change the model input from the parent component the change is not reflected in the child component.
In this example the parent component sets the `save` model input immediately to `false` again.
In the stackblitz you can the the `save` signals are getting out of sync

### Please provide a link to a minimal reproduction of the bug

https://stackblitz.com/edit/stackblitz-starters-pgh9xy?file=src%2Fmain.ts

### Please provide the exception or error you saw

_No response_

### Please provide the environment you discovered this bug in (run `ng version`)

```true
@angular/core: 18.1.1
```


### Anything else?

I want to implement a generic save component. This component sets the model input `save` to true and shows some loading indication as long as `save` is true.

This component is used from different parent component which intern either do http requests or just execute some code.
When they are finished they set the `save` model to `false` again. Then the loading animation should stop in the child component.","['state: Needs Design', 'area: core', 'core: inputs / outputs', 'P3', 'bug', 'core: reactivity', 'cross-cutting: signals']",2024-07-25T06:43:44Z,10,4,https://github.com/angular/angular/issues/57124
19,angular/angular,Extended diagnostics do not run on structural directive attributes,"This came up while I was working on #57033. The visitor that is meant to visit every expression in a template currently skips over the `templateAttrs` ([see](https://github.com/angular/angular/blob/4ac39aeea988bd423795bac70d480620f49f2267/packages/compiler-cli/src/ngtsc/typecheck/extended/api/api.ts#L189)). This is incorrect, because the `templateAttrs` don't get copied over into the element node for something like `<div *ngIf=""expr""></div>`. As a result, our current extended diagnostics haven't been checking the expressions of structural directives. In #57033 I tried fixing it, but there were a lot of failures even for the trial run so I expect a lot more for a global one.  

As a workaround in #57033, I've added a flag that allows the problematic diagnostics to retain their old behavior, but eventually we should remove the `canVisitStructuralAttributes` flag and resolve the failures.","['breaking changes', 'area: compiler', 'bug', 'compiler: extended diagnostics']",2024-07-23T08:57:11Z,0,0,https://github.com/angular/angular/issues/57094
20,angular/angular,Angular devtools fails to display component information when it injects a number value,"### Is this a bug report or a feature request?

- [X] Bug Report
- [ ] Feature Request

### Please provide the steps to reproduce the issue [Bug Report only]

Create a component that injects a number via an injection token:

```ts
const MY_NUMBER = new InjectionToken<number>('my-number');

@Component({
  selector: 'app-component',
  standalone: true,
  providers: [{ provide: MY_NUMBER, useValue: 42 }]
})
export class AppComponent {
  readonly myNumber = inject(MY_NUMBER);
}
```

Using the chrome debugger shows it coming from `valueToLabel` inside `component-tree.ts`. It's trying to call `<number>.startsWith('_')`:

![image](https://github.com/angular/angular/assets/55192399/3020b917-d250-40bb-9d1a-850a6912baff)

Link to source: https://github.com/angular/angular/blob/main/devtools/projects/ng-devtools-backend/src/lib/component-tree.ts#L324


### Please provide the expected behavior vs the actual behavior you encountered [Bug Report only]

I'd expect the component details to display normally.

### Please provide a screenshot if possible [Bug Report only]

This fails with `e.startsWith` is not a function:

![image](https://github.com/angular/angular/assets/55192399/e3b8a826-10ec-4fb0-9b91-8684e6379ce9)

The devtools window displays nothing:
![image](https://github.com/angular/angular/assets/55192399/432cc497-a944-4edc-8b94-da82495af5ee)

### Please provide the exception or error you saw [Bug Report only]

```true
TypeError: e.startsWith is not a function
    at Se (component-tree.ts:341:11)
    at fe (component-tree.ts:330:12)
    at Ti (component-tree.ts:304:16)
    at c (component-tree.ts:123:29)
    at kn (component-tree.ts:149:5)
    at client-event-subscribers.ts:148:19
    at n (same-page-message-bus.ts:46:21)
    at _ZoneDelegate.invokeTask (zone.umd.js:443:1)
    at ZoneImpl.runTask (zone.umd.js:195:1)
    at ZoneTask.invokeTask [as invoke] (zone.umd.js:527:1)
```


### Is this a browser-specific issue? If so, please specify the device, browser, and version. [Bug Report only]

_No response_

### Description [Feature Request only]

_No response_

### Proposed solution [Feature Request only]

_No response_

### Alternatives considered [Feature Request only]

_No response_","['area: devtools', 'bug']",2024-06-25T21:07:54Z,0,0,https://github.com/angular/angular/issues/56595
21,angular/angular,DevTools cause Firefox to consume high CPU and memory on Microsoft 365 websites,"### Is this a bug report or a feature request?

- [X] Bug Report
- [ ] Feature Request

### Please provide the steps to reproduce the issue [Bug Report only]

When accessing any Microsoft sharepoint or office page, Firefox starts to use around 50% CPU and uses an increasing amount of memory, way beyond 10GB after a few minutes. 
Disabling Angular DevTools resolves the issue. 

### Please provide the expected behavior vs the actual behavior you encountered [Bug Report only]

Expected behavior: No noticeable performance impact by Angular DevTools, especially on non-Angular websites
Actual behavior: Extreme resource usage on some websites when enabling Angular DevTools

### Please provide a screenshot if possible [Bug Report only]

_No response_

### Please provide the exception or error you saw [Bug Report only]

```true
I have tried to get a memory dump or profiling session from Firefox but it is incredibly difficult given that Firefox itself starts to hang after a few seconds and the only way to get it to be responsive again is to close the tab, which will also free up all memory. 

However, I have noticed that the error started roughly 1 week ago, when I also received the latest DevTools update 1.0.16. 
This update mentions: ""Adding support for inspecting Angular applications inside iframes""

When I leave the console open when loading sharepoint it reports hundreds of these messages (among other things): 
IFrame: origin https://autologon.microsoftazuread-sso.com is not in the allowed list.
or: 
IFrame: Integrated Windows Authentication failed with status code 401 (Unauthorized).

These messages do not appear once I disable the extension. 

Blind guess: 
I come to the conclusion that the IFrame-inspection causes some issue with the Microsoft SSO mechanism. I read somewhere that authorization inside IFrames requires special attention due to clickjacking attacks: https://datatracker.ietf.org/doc/html/rfc6819#section-4.4.1.9
Maybe the inspection is interfering with this?
```


### Is this a browser-specific issue? If so, please specify the device, browser, and version. [Bug Report only]

```true
Running Firefox 126.0 (64-Bit) on Windows 11
```


### Description [Feature Request only]

_No response_

### Proposed solution [Feature Request only]

_No response_

### Alternatives considered [Feature Request only]

_No response_","['area: devtools', 'bug']",2024-05-17T15:53:06Z,11,9,https://github.com/angular/angular/issues/55854
22,angular/angular,ngProjectedAs not working when used as static host property inside @Component,"### Which @angular/* package(s) are the source of the bug?

core

### Is this a regression?

No

### Description

https://angular.io/guide/content-projection#projecting-content-in-more-complex-environments

This article introduces the ngProjectedAs host attribute as a way to manage more complex content projection challenges.

I believe that if I set this as a static host attribute inside the host property of the @Component this should work as it is a static attribute assigned to the host.

The example below demonstrates the issue:
```ts
@Component({
  selector: 'app-root',
  standalone: true,
  imports: [ProjectToComponent, ProjectAsHostComponent],
  template: `
  <h2>In line ngProjectAs</h2>
  <project-to>
    <div ngProjectAs=""[projectedElement]"">I should be projected</div>
  </project-to>

  <h2>Static host property ngProjectAs</h2>
  <project-to>
    <project-as-host/>
  </project-to>
  `,
})
export class App {
  name = 'Angular';
}
```
with project-as-host having the following source code:
```ts
import { Component } from '@angular/core';

@Component({
  selector: 'project-as-host',
  standalone: true,
  host: {
    ngProjectAs: '[projectedElement]',
  },
  template: `
		<p>I should be projected</p>
	`,
})
export default class ProjectAsHostComponent {}
```

A curious observation.
If I change the host attribute to ngProject and leave out the As, in the html I see the following correct static binding:
```html
<project-as-host ngproject=""[projectedElement]""><p>I should be projected</p></project-as-host>
```

### Please provide a link to a minimal reproduction of the bug

https://stackblitz.com/edit/stackblitz-starters-tzechz?file=src%2Fmain.ts

### Please provide the exception or error you saw

```true
There is no error. The content is just not projected anywhere.
```


### Please provide the environment you discovered this bug in (run `ng version`)

```true
Angular CLI: 17.3.5
Node: 18.18.0
Package Manager: npm 10.2.3
OS: linux x64

Angular: 17.3.5
... animations, cli, common, compiler, compiler-cli, core, forms
... platform-browser, router

Package                         Version
---------------------------------------------------------
@angular-devkit/architect       0.1703.5
@angular-devkit/build-angular   17.3.5
@angular-devkit/core            17.3.5
@angular-devkit/schematics      17.3.5
@schematics/angular             17.3.5
rxjs                            7.8.1
typescript                      5.3.3
zone.js                         0.14.4
```


### Anything else?

The motivation for this is to work around content projection with select is currently limited to hard coded strings. This is an issue with what we are trying to achieve for spartan/ui's select component that should ideally allow the user installing the dependency to configure a custom component to be projected as a trigger. More here: https://github.com/goetzrobin/spartan/issues/252","['breaking changes', 'hotlist: error messages', 'area: core', 'area: compiler', 'core: content projection', 'P4', 'bug']",2024-04-19T23:44:00Z,5,5,https://github.com/angular/angular/issues/55438
23,angular/angular,CSS scoping seems to convert properties,"### Which @angular/* package(s) are the source of the bug?

compiler

### Is this a regression?

No

### Description

In my monorepo I implemented a component defining a `container` css property:

```css
:host {
    container: host / inline-size;
}
```

This component is part of @company/components.
When using the component locally it works fine, but when implementing the published rc version in another repository the component css is scoped and results in:

```css
:host {
    container-shadowcsshost-no-combinator/inline-size
}
```

After looking in the angular source code I see the only file containing `-shadowcsshost` is [shadow_css.ts](https://github.com/angular/angular/blob/2ab536ee3ed43cf1d20d0d073f133eb9225d6921/packages/compiler/src/shadow_css.ts).

My assumption is that it is too eagerly replacing `:host` in this case.

> The same happens to any css property that allows the word `host` to be the first part of the property value:
> 1. `grid-area: host` > `grid-area-shadowcsshost-no-combinator`
> 2. `container-name: host-element` > `container-name-shadowcsshost-no-combinator-element`

### Workaround

Never use `host` as the first part of the property value inside the `:host` selector.
We decided on using `component` instead when naming container queries.

```css
:host {
    container: component / inline-size;
}
```

### Please provide a link to a minimal reproduction of the bug

_No response_

### Please provide the exception or error you saw

The `<script>` tag with the scoped css in the implementing application shows:

```css
:host {
    container-shadowcsshost-no-combinator/inline-size
}
```

instead of:

```css
:host {
    container: host / inline-size;
}
```

### Please provide the environment you discovered this bug in (run `ng version`)

```true
Angular CLI: 17.0.3
Node: 20.9.0
Package Manager: pnpm 8.10.5
OS: darwin arm64

Angular: 17.0.4
... animations, common, compiler, compiler-cli, core, forms
... language-service, platform-browser, platform-browser-dynamic
... router, service-worker

Package                         Version
---------------------------------------------------------
@angular-devkit/architect       0.1700.3
@angular-devkit/build-angular   17.0.3
@angular-devkit/core            17.0.3
@angular-devkit/schematics      17.0.3
@angular/cdk                    17.0.1
@angular/cli                    17.0.3
@schematics/angular             17.0.3
ng-packagr                      17.0.2
rxjs                            7.8.1
typescript                      5.2.2
webpack                         5.89.0
zone.js                         0.14.2
```


### Anything else?

I'm using default `ViewEncapsulation.Emulated`","['workaround1: obvious', 'area: core', 'core: CSS encapsulation', 'bug']",2024-02-05T14:07:37Z,7,0,https://github.com/angular/angular/issues/54256
24,angular/angular,Css properties order matters,"### Which @angular/* package(s) are the source of the bug?

Don't known / other

### Is this a regression?

No

### Description

I couldn't build my library after adding a font to it.
I build with ```ng build look-n-play```.
It just leads to an infinite halt, where all I see is ```⠴ Compiling with Angular sources in Ivy full compilation mode.```, even the ascii animation stops.
I managed to trace the bug to @font-face css-rule. If I comment it out, the build proceeds.
So play-around led to discovery, that order-swap from font-family->src to src->font-family makes build proceed just fine. And more importantly it just works.

The file
projects/look-n-play/src/typography.scss

### Please provide a link to a minimal reproduction of the bug

https://github.com/EKashpersky/look-n-play

### Please provide the exception or error you saw

```true
No exceptions, blank halt
```


### Please provide the environment you discovered this bug in (run `ng version`)

```true
Angular CLI: 17.1.1
Node: 20.3.0
Package Manager: npm 9.6.7
OS: darwin arm64

Angular: 17.1.1
... animations, cli, common, compiler, compiler-cli, core, forms
... platform-browser, platform-browser-dynamic, router

Package                         Version
---------------------------------------------------------
@angular-devkit/architect       0.1701.1
@angular-devkit/build-angular   17.1.1
@angular-devkit/core            17.1.1
@angular-devkit/schematics      17.1.1
@schematics/angular             17.1.1
ng-packagr                      17.1.2
rxjs                            7.8.1
typescript                      5.3.3
zone.js                         0.14.3
```


### Anything else?

_No response_","['area: compiler', 'P3', 'bug']",2024-02-03T13:38:27Z,1,0,https://github.com/angular/angular/issues/54232
25,angular/angular,inject of ElementRef does not use generic type for the returned type inference,"### Which @angular/* package(s) are the source of the bug?

core

### Is this a regression?

No

### Description

Consider the example injection of the `ElementRef` with a specified generic type:

```typescript
  // OK: hostEl is of type ElementRef<HTMLElement>, as expected
  hostElExplicit = inject<ElementRef<HTMLElement>>(ElementRef);

  // KO: hostEl is of type ElementRef<any>, expecting ElementRef<HTMLElement>
  hostElInfered = inject(ElementRef<HTMLElement>);
```

Ideally ` inject(ElementRef<HTMLElement>)` would have the return type of `ElementRef<HTMLElement>`.

The fix is likely around the type definition for the `ProviderToken`.


### Please provide a link to a minimal reproduction of the bug

https://stackblitz.com/edit/stackblitz-starters-p38xn9

","['area: core', 'core: di', 'cross-cutting: types', 'P3', 'bug']",2024-01-12T11:40:32Z,6,11,https://github.com/angular/angular/issues/53894
26,angular/angular,DefaultDomRenderer2 causing setAttribute not a function error on comment elements,"### Which @angular/* package(s) are the source of the bug?

platform-browser

### Is this a regression?

Yes

### Description

Recently updated an angular project from version 6 to 16. All is working fine after upgrading but I do get an Error log in console with message 
```
ERROR TypeError: n.setAttribute is not a function
``` 
I've managed to debug the issue and I can see that it's coming from the DefaultDomRenderer2 setAttribute function when the element is of type `#comment` 

![angular bug2](https://github.com/angular/angular/assets/38229085/a7ba4833-9548-40dc-b318-5ddc8fe6e6e5)

![angular bug](https://github.com/angular/angular/assets/38229085/3637dcb4-1754-4cc3-90c4-37dcb83c7c1b)


### Please provide a link to a minimal reproduction of the bug

https://github.com/magixian/applyzer

### Please provide the exception or error you saw

```true
ERROR TypeError: n.setAttribute is not a function
```


### Please provide the environment you discovered this bug in (run `ng version`)

```true
Angular CLI: 16.2.11
Node: 20.9.0
Package Manager: npm 10.1.0
OS Win x64
Angular: 16.2.11
```


### Anything else?

_No response_","['area: compiler', 'P4', 'compiler: template type-checking', 'bug']",2024-01-02T16:01:38Z,4,0,https://github.com/angular/angular/issues/53760
27,angular/angular,"ngIf with animation, nested in ngFor, create clones of itself, when item is reordered ""upwards""","### Which @angular/* package(s) are the source of the bug?

animations

### Is this a regression?

?

### Description

The following code template malfunction when the `ngIf` item is ""moved"" ""upwards"" in the `ngFor` list (but not downwards).

``` html
<div *ngFor=""let item of list$ | async; trackBy: trackFn"">
  <div class=""item"">
    {{ item.text }}
    <div *ngIf=""item.id === openItem()"" [@State] class=""sub-content"">
      {{ item.text }} content
    </div>
  </div>
</div>
```

This error happens when the `trackBy` function return the `ngFor` item id. And the nested `ngIf` element has an animation.

Please see below in the video:
[2023-12-11 14-19-04.webm](https://github.com/angular/angular/assets/7062803/43b9150b-5f2d-4214-bb4e-db55131cf76c)

The end state in the video is shown in the image below, the template code pasted above generates two extra divs, one for each move ""upwards"".
![image](https://github.com/angular/angular/assets/7062803/6e392ce6-52ea-4680-8508-24502d2f9211)


### Please provide a link to a minimal reproduction of the bug

https://stackblitz.com/edit/hswtny?file=src%2Fexample%2Flist-overview-example.html

### Please provide the exception or error you saw

_No response_

### Please provide the environment you discovered this bug in (run `ng version`)

```true
Angular 17.0.6, in stackblitz
```


### Anything else?

The video wrongly shows ""Current build: 17.0.3"", it is 17.0.6.","['area: animations', 'P3', 'bug']",2023-12-11T13:33:16Z,3,0,https://github.com/angular/angular/issues/53492
